"pid","laddr","raddr","status"
"6600", "10.0.0.18@50139", "151.101.40.133@443", "ESTABLISHED"
"6600", "10.0.0.18@50147", "192.30.253.117@443", "CLOSE_WAIT"
"6600", "10.0.0.18@50137", "77.234.42.41@443", "ESTABLISHED"
"6600", "10.0.0.18@50151", "151.101.40.133@443", "ESTABLISHED"
"6600", "10.0.0.18@50162", "151.101.40.133@443", "ESTABLISHED"
"6600", "10.0.0.18@50150", "151.101.40.133@443", "ESTABLISHED"
"6600", "10.0.0.18@50155", "192.30.253.112@443", "CLOSE_WAIT"
"6600", "2601:646:8400:abb9:bcff:d64f:26b8:fa66@50152", "2607:f8b0:4005:80a::200e@443", "ESTABLISHED"
"6600", "2601:646:8400:abb9:bcff:d64f:26b8:fa66@50121", "2607:f8b0:4005:804::2010@80", "CLOSE_WAIT"
"6600", "10.0.0.18@50145", "52.1.89.148@443", "ESTABLISHED"
"3392", "10.0.0.18@50164", "34.194.43.184@443", "ESTABLISHED"
"3392", "10.0.0.18@49801", "23.21.115.159@443", "ESTABLISHED"
"3960", "10.0.0.18@49800", "107.21.3.8@443", "ESTABLISHED"
"3712", "10.0.0.18@49718", "65.52.108.210@443", "ESTABLISHED"
"1924", "10.0.0.18@49688", "77.234.41.25@80", "ESTABLISHED"
"556", "10.0.0.18@49675", "131.253.34.242@443", "ESTABLISHED"
